date | value
0000-01-01 | 3
0001-01-01 | 3
9999-01-01 | 3

2009-00-01 | 3
2009-12-01 | 3
2009-13-01 | 3

2015-01-00 | 3
2015-01-01 | 3
2015-01-31 | 3
2015-01-32 | 3

2015-01-01  | 3
2015-01-01 |  3
2015-01-01 | 3     
   2015-01-01 | 3
2015-01-01 | 3    dwdw

00a1-01-01 | 3
0001-a1-01 | 3
0001-01-a1 | 3

2015-04-31 | 3

2015-02-29 | 3
2015-02-30 | 3
2015-02-31 | 3

2016-02-29 | 3
2016-02-30 | 3
2016-02-31 | 3

2016-02-29 | 0
2016-02-29 | -1
2016-02-29 | 111-1
2016-02-29 | 00001

2016-02-29 | 10
2016-02-29 | 999
2016-02-29 | 1000
2016-02-29 | 10.5555555555555
2016-02-29 | 10.9999999999999
2016-02-29 | 999.9999999999999
2016-02-29 | 1000.00000001
